iter	Passed	Remaining
0	5	2616
1	9	2395
2	12	2028
3	14	1801
4	17	1769
5	20	1677
6	23	1628
7	26	1606
8	29	1599
9	35	1744
10	38	1699
11	41	1688
12	44	1652
13	49	1733
14	52	1710
15	55	1688
16	58	1662
17	60	1627
18	63	1619
19	66	1600
20	69	1579
21	71	1558
22	74	1540
23	76	1516
24	78	1496
25	81	1482
26	83	1471
27	86	1456
28	95	1545
29	100	1571
30	102	1557
31	105	1543
32	107	1525
33	110	1513
34	113	1501
35	115	1484
36	117	1469
37	119	1454
38	121	1440
39	124	1428
40	126	1415
41	128	1405
42	131	1393
43	134	1391
44	136	1380
45	139	1372
46	141	1361
47	143	1354
48	146	1349
49	149	1344
50	152	1344
51	155	1335
52	158	1340
53	162	1343
54	164	1334
55	170	1351
56	180	1405
57	183	1399
58	186	1396
59	190	1394
60	192	1386
61	194	1376
62	197	1367
63	199	1360
64	202	1354
65	204	1345
66	207	1337
67	209	1331
68	212	1324
69	214	1319
70	217	1315
71	220	1308
72	222	1303
73	225	1296
74	227	1289
75	229	1282
76	232	1279
77	235	1272
78	237	1265
79	239	1259
80	242	1256
81	244	1248
82	247	1242
83	249	1237
84	251	1230
85	254	1222
86	256	1216
87	258	1211
88	260	1204
89	263	1200
90	265	1195
91	268	1189
92	270	1184
93	272	1178
94	274	1171
95	276	1164
96	278	1158
97	281	1154
98	283	1149
99	285	1143
100	288	1138
101	290	1132
102	292	1126
103	294	1120
104	296	1116
105	299	1111
106	302	1109
107	304	1105
108	306	1099
109	308	1094
110	310	1089
111	313	1084
112	315	1082
113	318	1076
114	320	1072
115	322	1067
116	324	1062
117	326	1057
118	328	1053
119	331	1048
120	333	1043
121	335	1040
122	338	1036
123	340	1031
124	342	1026
125	344	1022
126	346	1018
127	348	1013
128	350	1009
129	352	1004
130	355	1000
131	357	996
132	359	991
133	361	988
134	364	985
135	366	980
136	368	976
137	370	972
138	372	968
139	375	964
140	377	960
141	379	957
142	381	953
143	384	949
144	386	945
145	388	941
146	390	937
147	392	933
148	394	930
149	397	926
150	399	922
151	401	919
152	403	915
153	405	912
154	408	908
155	410	904
156	412	900
157	414	896
158	416	893
159	418	890
160	420	886
161	423	882
162	425	878
163	427	875
164	429	871
165	431	868
166	433	864
167	435	861
168	437	857
169	440	854
170	442	850
171	444	847
172	446	844
173	448	840
174	450	836
175	452	833
176	454	829
177	456	826
178	458	823
179	461	819
180	463	816
181	465	813
182	467	810
183	470	807
184	472	804
185	474	801
186	476	798
187	478	794
188	481	791
189	483	788
190	485	784
191	487	781
192	489	778
193	492	777
194	495	774
195	497	771
196	499	768
197	503	767
198	506	765
199	509	763
200	522	776
201	528	779
202	533	780
203	539	782
204	544	783
205	548	782
206	552	781
207	556	781
208	563	784
209	566	782
210	569	780
211	572	777
212	575	775
213	586	783
214	590	782
215	594	782
216	606	790
217	610	790
218	613	787
219	616	784
220	618	780
221	620	777
222	623	774
