video_id,frame,event_type,stroke_type,point_end_type,player
Indoor Match 2 15.53.25,453,point_start,,,
Indoor Match 2 15.53.25,453,hit,serve,,
Indoor Match 2 15.53.25,464,bounce,,,
Indoor Match 2 15.53.25,475,hit,backhand,,
Indoor Match 2 15.53.25,523,bounce,,,
Indoor Match 2 15.53.25,544,hit,forehand,,
Indoor Match 2 15.53.25,572,bounce,,,
Indoor Match 2 15.53.25,581,hit,backhand,,
Indoor Match 2 15.53.25,613,bounce,,,
Indoor Match 2 15.53.25,629,hit,forehand,,
Indoor Match 2 15.53.25,648,bounce,,,
Indoor Match 2 15.53.25,664,hit,backhand,,
Indoor Match 2 15.53.25,1371,point_start,,,
Indoor Match 2 15.53.25,1371,hit,serve,,
Indoor Match 2 15.53.25,1382,bounce,,,
Indoor Match 2 15.53.25,1382,point_end,,unforced_error,
Indoor Match 2 15.53.25,1692,point_start,,,
Indoor Match 2 15.53.25,1692,hit,serve,,
Indoor Match 2 15.53.25,1707,bounce,,,
Indoor Match 2 15.53.25,1725,hit,forehand,,
Indoor Match 2 15.53.25,1747,bounce,,,
Indoor Match 2 15.53.25,1764,hit,forehand,,
Indoor Match 2 15.53.25,1784,bounce,,,
Indoor Match 2 15.53.25,1800,hit,forehand,,
Indoor Match 2 15.53.25,1828,bounce,,,
Indoor Match 2 15.53.25,1839,hit,forehand,,
Indoor Match 2 15.53.25,1861,bounce,,,
Indoor Match 2 15.53.25,1872,hit,backhand,,
Indoor Match 2 15.53.25,1899,bounce,,,
Indoor Match 2 15.53.25,1919,hit,forehand,,
Indoor Match 2 15.53.25,1953,hit,volley,,
Indoor Match 2 15.53.25,1980,bounce,,,
Indoor Match 2 15.53.25,1980,point_end,,winner,
Indoor Match 2 15.53.25,2789,point_start,,,
Indoor Match 2 15.53.25,2789,hit,serve,,
Indoor Match 2 15.53.25,2801,bounce,,,
Indoor Match 2 15.53.25,2812,hit,forehand,,
Indoor Match 2 15.53.25,2857,bounce,,,
Indoor Match 2 15.53.25,2873,hit,forehand,,
Indoor Match 2 15.53.25,2891,bounce,,,
Indoor Match 2 15.53.25,2891,point_end,,winner,
Indoor Match 2 15.53.25,3613,point_start,,,
Indoor Match 2 15.53.25,3613,hit,serve,,
Indoor Match 2 15.53.25,3627,bounce,,,
Indoor Match 2 15.53.25,3627,point_end,,unforced_error,
Indoor Match 2 15.53.25,4183,point_start,,,
Indoor Match 2 15.53.25,4183,hit,serve,,
Indoor Match 2 15.53.25,4200,bounce,,,
Indoor Match 2 15.53.25,4219,hit,forehand,,
Indoor Match 2 15.53.25,4250,bounce,,,
Indoor Match 2 15.53.25,4259,hit,forehand,,
Indoor Match 2 15.53.25,4285,bounce,,,
Indoor Match 2 15.53.25,4300,hit,forehand,,
Indoor Match 2 15.53.25,4325,bounce,,,
Indoor Match 2 15.53.25,4340,hit,forehand,,
Indoor Match 2 15.53.25,4364,bounce,,,
Indoor Match 2 15.53.25,4383,hit,forehand,,
Indoor Match 2 15.53.25,4404,bounce,,,
Indoor Match 2 15.53.25,4420,hit,backhand,,
Indoor Match 2 15.53.25,4451,hit,volley,,
Indoor Match 2 15.53.25,4479,bounce,,,
Indoor Match 2 15.53.25,4479,point_end,,winner,
Indoor Match 2 15.53.25,5384,point_start,,,
Indoor Match 2 15.53.25,5384,hit,serve,,
Indoor Match 2 15.53.25,5398,bounce,,,
Indoor Match 2 15.53.25,5398,point_end,,unforced_error,
Indoor Match 2 15.53.25,5688,point_start,,,
Indoor Match 2 15.53.25,5688,hit,serve,,
Indoor Match 2 15.53.25,5705,bounce,,,
Indoor Match 2 15.53.25,5719,hit,forehand,,
Indoor Match 2 15.53.25,5747,bounce,,,
Indoor Match 2 15.53.25,5767,hit,forehand,,
Indoor Match 2 15.53.25,7753,point_start,,,
Indoor Match 2 15.53.25,7753,hit,serve,,
Indoor Match 2 15.53.25,7768,bounce,,,
Indoor Match 2 15.53.25,7768,point_end,,unforced_error,
Indoor Match 2 15.53.25,7985,point_start,,,
Indoor Match 2 15.53.25,7985,hit,serve,,
Indoor Match 2 15.53.25,7999,bounce,,,
Indoor Match 2 15.53.25,8018,hit,forehand,,
Indoor Match 2 15.53.25,8045,bounce,,,
Indoor Match 2 15.53.25,8056,hit,forehand,,
Indoor Match 2 15.53.25,8070,point_end,,net_error,
Indoor Match 2 15.53.25,8671,point_start,,,
Indoor Match 2 15.53.25,8671,hit,serve,,
Indoor Match 2 15.53.25,8684,bounce,,,
Indoor Match 2 15.53.25,8684,point_end,,unforced_error,
Indoor Match 2 15.53.25,8923,point_start,,,
Indoor Match 2 15.53.25,8923,hit,serve,,
Indoor Match 2 15.53.25,8936,bounce,,,
Indoor Match 2 15.53.25,8947,hit,forehand,,
Indoor Match 2 15.53.25,8974,bounce,,,
Indoor Match 2 15.53.25,8987,hit,forehand,,
Indoor Match 2 15.53.25,9006,bounce,,,
Indoor Match 2 15.53.25,9006,point_end,,winner,
Indoor Match 2 15.53.25,9711,point_start,,,
Indoor Match 2 15.53.25,9711,hit,serve,,
Indoor Match 2 15.53.25,9721,bounce,,,
Indoor Match 2 15.53.25,9733,hit,backhand,,
Indoor Match 2 15.53.25,9803,bounce,,,
Indoor Match 2 15.53.25,9803,point_end,,forced_error,
Indoor Match 2 15.53.25,10333,point_start,,,
Indoor Match 2 15.53.25,10333,hit,serve,,
Indoor Match 2 15.53.25,10341,point_end,,net_error,
Indoor Match 2 15.53.25,10556,point_start,,,
Indoor Match 2 15.53.25,10556,hit,serve,,
Indoor Match 2 15.53.25,10569,bounce,,,
Indoor Match 2 15.53.25,10583,hit,backhand,,
Indoor Match 2 15.53.25,10620,bounce,,,
Indoor Match 2 15.53.25,10633,hit,backhand,,
Indoor Match 2 15.53.25,10662,bounce,,,
Indoor Match 2 15.53.25,10677,hit,backhand,,
Indoor Match 2 15.53.25,10704,bounce,,,
Indoor Match 2 15.53.25,10717,hit,forehand,,
Indoor Match 2 15.53.25,10744,bounce,,,
Indoor Match 2 15.53.25,10762,hit,forehand,,
Indoor Match 2 15.53.25,10789,bounce,,,
Indoor Match 2 15.53.25,10799,hit,backhand,,
Indoor Match 2 15.53.25,10831,bounce,,,
Indoor Match 2 15.53.25,10844,hit,forehand,,
Indoor Match 2 15.53.25,10865,bounce,,,
Indoor Match 2 15.53.25,10885,hit,backhand,,
Indoor Match 2 15.53.25,10909,bounce,,,
Indoor Match 2 15.53.25,10932,hit,forehand,,
Indoor Match 2 15.53.25,10961,bounce,,,
Indoor Match 2 15.53.25,10967,hit,backhand,,
Indoor Match 2 15.53.25,11009,bounce,,,
Indoor Match 2 15.53.25,11024,hit,forehand,,
Indoor Match 2 15.53.25,11043,bounce,,,
Indoor Match 2 15.53.25,11057,hit,backhand,,
Indoor Match 2 15.53.25,11105,bounce,,,
Indoor Match 2 15.53.25,11122,hit,forehand,,
Indoor Match 2 15.53.25,11148,bounce,,,
