frame,x,y,visibility
93400,,,0
93401,,,0
93402,,,0
93403,808.5,526.5,1
93404,811.5,525.0,1
93405,814.5,517.5,1
93406,822.0,508.5,1
93407,835.5,489.0,1
93408,850.0,457.0,1
93409,855.0,420.0,1
93410,854.0,387.0,1
93411,852.0,354.0,1
93412,852.0,322.0,1
93413,852.0,293.0,1
93414,851.0,265.0,1
93415,850.0,239.0,1
93416,850.0,214.0,1
93417,847.5,192.0,1
93418,850.5,175.5,1
93419,849.0,154.5,1
93420,852.0,138.0,1
93421,849.0,123.0,1
93422,850.5,108.0,1
93423,849.0,100.5,1
93424,849.0,90.0,1
93425,849.0,85.5,1
93426,849.0,78.0,1
93427,849.0,78.0,1
93428,849.0,78.0,1
93429,849.0,78.0,1
93430,849.0,78.0,1
93431,852.0,87.0,1
93432,850.5,93.0,1
93433,852.0,105.0,1
93434,852.0,115.5,1
93435,853.5,129.0,1
93436,856.5,145.5,1
93437,856.5,163.5,1
93438,856.5,181.5,1
93439,894.0,202.5,1
93440,948.0,220.0,1
93441,984.0,238.5,1
93442,1009.5,249.0,1
93443,1030.5,259.5,1
93444,1045.0,271.0,1
93445,1056.0,279.0,1
93446,1066.5,288.0,1
93447,1074.0,296.0,1
93448,1078.5,304.5,1
93449,1083.0,312.0,1
93450,1086.0,319.5,1
93451,1090.5,327.0,1
93452,1090.5,333.0,1
93453,1093.5,336.0,1
93454,1096.5,324.0,1
93455,1096.5,313.5,1
93456,1099.5,303.0,1
93457,1101.0,294.0,1
93458,1102.5,286.5,1
93459,1102.5,280.5,1
93460,1104.0,275.0,1
93461,1103.0,270.0,1
93462,1103.0,268.0,1
93463,1102.0,263.0,1
93464,1102.0,262.0,1
93465,1104.0,259.0,1
93466,1104.0,259.5,1
93467,1102.5,258.0,1
93468,1101.0,254.0,1
93469,1099.5,250.5,1
93470,1096.5,246.0,1
93471,1095.0,243.0,1
93472,1093.0,239.0,1
93473,1089.0,237.0,1
93474,1087.5,234.0,1
93475,1083.0,232.5,1
93476,1084.5,229.5,1
93477,1081.0,229.0,1
93478,1078.0,228.0,1
93479,1075.5,229.0,1
93480,1072.5,228.0,1
93481,1070.0,229.0,1
93482,1069.5,231.0,1
93483,1066.0,233.0,1
93484,1062.0,236.0,1
93485,1061.0,241.0,1
93486,1058.0,247.0,1
93487,1056.0,254.0,1
93488,1051.5,261.0,1
93489,1048.0,271.0,1
93490,1044.0,279.0,1
93491,1042.0,293.0,1
93492,1038.0,306.0,1
93493,1033.5,321.0,1
93494,1029.0,340.5,1
93495,1027.0,360.0,1
93496,1023.0,382.0,1
93497,1019.0,407.0,1
93498,1016.0,436.0,1
93499,1012.0,468.0,1
93500,1005.0,504.0,1
93501,1001.0,517.0,1
93502,999.0,505.0,1
93503,997.0,496.0,1
93504,993.0,486.0,1
93505,989.0,479.0,1
93506,985.0,472.0,1
93507,982.0,465.0,1
93508,978.0,458.0,1
93509,973.0,456.0,1
93510,968.0,455.0,1
93511,964.0,456.0,1
93512,957.0,459.0,1
93513,953.0,464.0,1
93514,947.0,473.0,1
93515,942.0,483.0,1
93516,934.0,499.0,1
93517,927.0,519.0,1
93518,914.0,542.0,1
93519,908.0,571.0,1
93520,910.5,543.0,1
93521,937.0,440.0,1
93522,951.0,368.0,1
93523,961.0,316.0,1
93524,970.0,281.0,1
93525,978.0,252.0,1
93526,981.0,232.0,1
93527,987.0,217.5,1
93528,991.5,207.0,1
93529,994.5,198.0,1
93530,997.5,192.0,1
93531,999.0,189.0,1
93532,1000.5,187.5,1
93533,1002.0,187.5,1
93534,1003.5,187.5,1
93535,1005.0,189.0,1
