frame,x,y,status
10845,1234.0,781.0,auto
10846,1234.5,762.5,interp
10847,1235.0,744.0,auto
10848,1235.0,728.0,auto
10849,1236.0,712.0,auto
10850,1237.0,701.0,auto
10851,1237.0,690.0,auto
10852,1237.0,679.0,auto
10853,1238.0,673.0,auto
10854,1234.0,668.0,auto
10855,,,noball
10856,,,noball
10857,,,noball
10858,,,noball
10859,,,noball
10860,,,noball
10861,,,noball
10862,,,noball
10863,1298.0,691.0,auto
10864,1304.0,676.0,auto
10865,1310.0,662.0,auto
10866,1318.0,651.0,auto
10867,,,noball
10868,1123.0,309.0,flag
10869,,,noball
10870,1125.0,308.0,flag
10871,,,noball
10872,920.0,782.0,flag
10873,,,noball
10874,,,noball
10875,,,noball
10876,,,noball
10877,,,noball
10878,,,noball
10879,,,noball
10880,,,noball
10881,,,noball
10882,,,noball
10883,1140.0,788.0,flag
10884,,,noball
10885,,,noball
10886,1136.0,788.0,flag
10887,,,noball
10888,,,noball
10889,,,noball
10890,,,noball
10891,,,noball
10892,,,noball
10893,,,noball
10894,,,noball
10895,,,noball
10896,,,noball
10897,,,noball
10898,,,noball
10899,,,noball
10900,,,noball
10901,,,noball
10902,,,noball
10903,,,noball
10904,,,noball
10905,,,noball
10906,,,noball
10907,,,noball
10908,,,noball
10909,,,noball
10910,,,noball
10911,,,noball
10912,,,noball
10913,1298.0,689.0,auto
10914,1300.0,670.0,auto
10915,1302.0,652.0,auto
10916,1301.0,638.0,auto
10917,,,noball
10918,,,noball
10919,,,noball
10920,,,noball
10921,,,noball
10922,,,noball
10923,,,noball
10924,1286.0,660.0,auto
10925,1283.0,675.0,auto
10926,1282.0,697.0,auto
10927,1280.0,719.0,auto
10928,1278.0,742.0,auto
10929,1275.0,764.0,auto
10930,1276.0,772.0,auto
10931,,,noball
10932,,,noball
10933,,,noball
10934,,,noball
10935,,,noball
10936,,,noball
10937,,,noball
10938,,,noball
10939,,,noball
10940,,,noball
10941,,,noball
10942,,,noball
10943,,,noball
10944,,,noball
10945,,,noball
10946,,,noball
10947,,,noball
10948,,,noball
10949,,,noball
10950,,,noball
10951,,,noball
