frame,x,y,visibility
10845,1233.0,775.5,1
10846,1233.5,763.0,1
10847,1234.0,750.5,1
10848,1234.5,738.0,1
10849,1236.0,714.0,1
10850,1236.0,702.0,1
10851,1237.5,690.0,1
10852,1237.5,679.5,1
10853,1237.5,670.5,1
10854,1237.5,663.0,1
10855,1243.5,685.5,1
10856,1251.0,711.0,1
10857,1258.5,738.0,1
10858,1267.5,768.0,1
10859,1275.0,771.0,1
10860,1279.5,747.0,1
10861,1285.5,726.0,1
10862,1291.5,708.0,1
10863,1297.5,690.0,1
10864,1303.5,675.0,1
10865,1309.5,661.5,1
10866,1315.5,649.5,1
10867,1318.5,642.0,1
10868,1323.0,643.5,1
10869,1327.5,645.0,1
10870,1336.5,648.0,1
10871,1339.5,651.0,1
10872,,,0
10873,,,0
10874,,,0
10875,,,0
10876,,,0
10877,,,0
10878,,,0
10879,,,0
10880,,,0
10881,,,0
10882,,,0
10883,,,0
10884,,,0
10885,,,0
10886,,,0
10887,,,0
10888,,,0
10889,,,0
10890,1338.0,646.5,1
10891,1329.0,646.5,1
10892,1323.0,640.5,1
10893,1320.0,636.0,1
10894,1314.0,628.5,1
10895,1308.0,619.5,1
10896,1305.0,612.0,1
10897,1300.5,601.5,1
10898,1302.0,595.5,1
10899,1302.0,588.0,1
10900,1305.0,589.5,1
10901,1305.0,591.0,1
10902,1299.0,597.0,1
10903,1297.5,612.0,1
10904,1294.5,633.0,1
10905,1294.5,660.0,1
10906,1291.5,687.0,1
10907,1290.0,717.0,1
10908,1288.5,747.0,1
10909,1287.0,777.0,1
10910,1288.5,751.5,1
10911,1293.0,729.0,1
10912,1296.0,708.0,1
10913,1297.5,688.5,1
10914,1300.5,669.0,1
10915,1303.5,654.0,1
10916,1303.5,640.5,1
10917,1302.0,639.0,1
10918,1297.5,630.0,1
10919,1297.5,627.0,1
10920,1294.5,625.5,1
10921,1291.5,625.5,1
10922,1290.0,630.0,1
10923,1287.0,642.0,1
10924,1285.5,655.5,1
10925,1282.5,676.5,1
10926,1279.5,694.5,1
10927,1279.5,717.0,1
10928,1278.0,739.5,1
10929,1276.5,763.5,1
10930,1275.0,769.5,1
10931,1275.0,750.0,1
10932,1276.5,732.0,1
10933,1276.5,718.5,1
10934,1279.5,703.5,1
10935,1278.0,690.0,1
10936,1279.5,679.5,1
10937,,,0
10938,,,0
10939,,,0
10940,,,0
10941,,,0
10942,,,0
10943,,,0
10944,,,0
10945,,,0
10946,,,0
10947,,,0
10948,,,0
10949,,,0
10950,,,0
10951,,,0
10952,,,0
10953,,,0
10954,,,0
10955,,,0
10956,,,0
10957,,,0
10958,,,0
10959,,,0
10960,,,0
10961,,,0
10962,,,0
10963,,,0
10964,,,0
10965,1294.5,652.5,1
10966,1282.5,637.5,1
10967,1267.5,616.5,1
10968,1257.0,589.5,1
10969,1250.0,559.0,1
10970,1250.0,525.0,1
10971,1252.0,492.0,1
10972,1252.0,461.0,1
10973,1253.0,428.0,1
10974,1255.0,400.0,1
10975,1257.0,374.0,1
10976,1258.0,347.0,1
10977,1258.0,324.0,1
10978,1260.0,303.0,1
10979,1260.0,281.0,1
10980,1262.0,262.0,1
10981,1261.0,247.0,1
10982,1260.0,231.0,1
10983,1263.0,216.0,1
10984,1264.5,207.0,1
10985,1266.0,196.5,1
10986,1266.0,190.5,1
10987,1266.0,186.0,1
10988,1266.0,181.5,1
10989,1267.5,180.0,1
10990,1267.5,180.0,1
10991,1269.0,184.5,1
10992,1267.5,187.5,1
10993,1267.5,192.0,1
10994,1269.0,201.0,1
10995,1269.0,211.5,1
10996,1269.0,222.0,1
10997,1267.5,235.5,1
10998,1267.5,250.5,1
10999,1269.0,268.5,1
11000,1269.0,286.5,1
11001,1267.5,306.0,1
11002,1228.5,334.5,1
11003,1180.5,358.5,1
11004,1150.5,375.0,1
11005,1128.0,390.0,1
11006,1113.0,397.5,1
11007,1102.5,406.5,1
11008,1095.0,414.8,1
11009,1090.5,421.5,1
11010,1083.0,429.0,1
11011,,,0
11012,1077.0,439.5,1
11013,1077.0,441.0,1
11014,1074.0,429.0,1
11015,1074.0,418.5,1
11016,1072.5,406.5,1
11017,1073.0,397.0,1
11018,1072.0,392.0,1
11019,1072.0,388.0,1
11020,1072.5,382.5,1
11021,1071.0,378.0,1
11022,1072.5,376.5,1
11023,1072.5,372.0,1
11024,1074.0,372.0,1
11025,1074.0,370.5,1
11026,1074.0,370.5,1
11027,,,0
11028,,,0
11029,,,0
11030,,,0
11031,,,0
11032,,,0
11033,,,0
11034,,,0
11035,,,0
11036,,,0
11037,,,0
11038,,,0
11039,,,0
11040,,,0
11041,,,0
11042,,,0
11043,,,0
11044,,,0
11045,,,0
11046,,,0
11047,,,0
11048,,,0
11049,,,0
11050,,,0
11051,,,0
11052,,,0
11053,,,0
11054,,,0
11055,,,0
11056,,,0
11057,,,0
11058,,,0
11059,,,0
11060,,,0
11061,,,0
11062,,,0
11063,,,0
11064,,,0
11065,,,0
11066,,,0
11067,,,0
11068,,,0
11069,,,0
11070,,,0
11071,,,0
11072,,,0
11073,,,0
11074,,,0
11075,,,0
11076,,,0
11077,,,0
11078,,,0
11079,,,0
11080,,,0
11081,,,0
11082,,,0
11083,,,0
11084,,,0
11085,,,0
11086,,,0
11087,,,0
11088,,,0
11089,,,0
11090,,,0
11091,,,0
11092,,,0
11093,,,0
11094,,,0
11095,,,0
11096,,,0
11097,,,0
11098,,,0
11099,,,0
11100,,,0
11101,,,0
11102,,,0
11103,,,0
11104,,,0
11105,,,0
11106,,,0
11107,,,0
11108,,,0
11109,,,0
11110,,,0
11111,,,0
11112,,,0
11113,,,0
11114,,,0
11115,,,0
11116,,,0
11117,,,0
11118,,,0
11119,,,0
11120,,,0
11121,,,0
11122,,,0
11123,,,0
11124,,,0
11125,,,0
11126,,,0
11127,,,0
11128,,,0
11129,,,0
11130,,,0
11131,,,0
11132,,,0
11133,,,0
11134,,,0
11135,,,0
11136,,,0
11137,,,0
11138,,,0
11139,,,0
11140,,,0
11141,,,0
11142,,,0
11143,,,0
11144,,,0
11145,,,0
11146,,,0
11147,,,0
11148,,,0
11149,,,0
11150,,,0
11151,,,0
11152,,,0
11153,,,0
11154,,,0
11155,,,0
11156,,,0
11157,,,0
11158,,,0
11159,,,0
11160,,,0
11161,,,0
11162,,,0
11163,,,0
11164,,,0
11165,,,0
11166,,,0
11167,,,0
11168,,,0
11169,,,0
11170,,,0
11171,,,0
11172,,,0
11173,,,0
11174,,,0
11175,,,0
11176,,,0
11177,,,0
11178,,,0
11179,,,0
11180,,,0
11181,,,0
11182,,,0
11183,,,0
11184,,,0
11185,,,0
11186,,,0
11187,,,0
11188,,,0
11189,,,0
11190,,,0
11191,,,0
11192,,,0
11193,,,0
11194,,,0
11195,,,0
11196,,,0
11197,,,0
11198,,,0
11199,,,0
11200,,,0
11201,,,0
11202,,,0
11203,,,0
11204,,,0
11205,,,0
11206,,,0
11207,,,0
11208,,,0
11209,,,0
11210,,,0
11211,,,0
11212,,,0
11213,,,0
11214,,,0
11215,,,0
11216,,,0
11217,,,0
11218,,,0
11219,,,0
11220,,,0
11221,,,0
11222,,,0
11223,,,0
11224,,,0
11225,,,0
11226,,,0
11227,,,0
11228,,,0
11229,,,0
11230,,,0
11231,,,0
11232,,,0
11233,,,0
11234,,,0
11235,,,0
11236,,,0
11237,,,0
11238,,,0
11239,,,0
11240,,,0
11241,,,0
11242,,,0
11243,,,0
11244,,,0
11245,,,0
11246,,,0
11247,,,0
11248,,,0
11249,,,0
11250,,,0
11251,,,0
11252,,,0
11253,,,0
11254,,,0
11255,,,0
11256,,,0
11257,,,0
11258,,,0
11259,,,0
11260,,,0
11261,,,0
11262,,,0
11263,,,0
11264,,,0
11265,,,0
11266,,,0
11267,,,0
11268,,,0
11269,,,0
11270,,,0
11271,,,0
11272,,,0
11273,,,0
11274,,,0
11275,,,0
11276,,,0
11277,,,0
11278,,,0
11279,,,0
11280,,,0
11281,,,0
11282,,,0
11283,,,0
11284,,,0
11285,,,0
11286,,,0
11287,,,0
11288,,,0
11289,,,0
11290,,,0
11291,,,0
11292,,,0
11293,,,0
11294,,,0
11295,,,0
11296,,,0
11297,,,0
11298,,,0
11299,,,0
11300,,,0
11301,,,0
11302,,,0
11303,,,0
11304,,,0
11305,,,0
11306,,,0
11307,,,0
11308,,,0
11309,,,0
11310,,,0
11311,,,0
11312,,,0
11313,,,0
11314,,,0
11315,,,0
11316,,,0
11317,,,0
11318,,,0
11319,,,0
11320,,,0
11321,,,0
11322,,,0
11323,,,0
11324,,,0
11325,,,0
11326,,,0
11327,,,0
11328,,,0
11329,,,0
11330,,,0
11331,,,0
11332,,,0
11333,,,0
11334,,,0
11335,,,0
11336,,,0
11337,,,0
11338,,,0
11339,,,0
11340,,,0
11341,,,0
11342,,,0
11343,,,0
11344,,,0
11345,,,0
11346,,,0
11347,,,0
11348,,,0
11349,,,0
11350,,,0
11351,,,0
11352,,,0
11353,,,0
11354,,,0
11355,,,0
11356,,,0
11357,,,0
11358,,,0
11359,,,0
11360,,,0
11361,,,0
11362,,,0
11363,,,0
11364,,,0
11365,,,0
11366,,,0
11367,,,0
11368,,,0
11369,,,0
11370,,,0
11371,,,0
11372,,,0
11373,,,0
11374,,,0
11375,,,0
11376,,,0
11377,,,0
11378,,,0
11379,,,0
11380,,,0
11381,,,0
11382,,,0
11383,,,0
11384,,,0
11385,,,0
11386,,,0
11387,,,0
11388,,,0
11389,,,0
11390,,,0
11391,,,0
11392,,,0
11393,,,0
11394,,,0
11395,,,0
11396,,,0
11397,,,0
11398,,,0
11399,,,0
11400,,,0
11401,,,0
11402,,,0
11403,,,0
11404,,,0
11405,,,0
11406,,,0
11407,,,0
11408,,,0
11409,,,0
11410,,,0
11411,,,0
11412,,,0
11413,,,0
11414,,,0
11415,,,0
11416,,,0
11417,,,0
11418,,,0
11419,,,0
11420,,,0
11421,,,0
11422,,,0
11423,,,0
11424,,,0
11425,,,0
11426,,,0
11427,,,0
11428,,,0
11429,,,0
11430,,,0
11431,,,0
11432,,,0
11433,,,0
11434,,,0
11435,,,0
11436,,,0
11437,,,0
11438,,,0
11439,,,0
11440,,,0
11441,,,0
11442,,,0
11443,,,0
11444,,,0
11445,,,0
11446,,,0
11447,,,0
11448,,,0
11449,,,0
11450,,,0
11451,,,0
11452,,,0
11453,,,0
11454,,,0
11455,,,0
11456,,,0
11457,,,0
11458,,,0
11459,,,0
11460,,,0
11461,,,0
11462,,,0
11463,,,0
11464,,,0
11465,,,0
11466,,,0
11467,,,0
11468,,,0
11469,,,0
11470,,,0
11471,,,0
11472,,,0
11473,,,0
11474,,,0
11475,,,0
11476,,,0
11477,,,0
11478,,,0
11479,,,0
11480,,,0
11481,,,0
11482,,,0
11483,,,0
11484,,,0
11485,,,0
11486,,,0
11487,,,0
11488,,,0
11489,,,0
11490,,,0
11491,,,0
11492,,,0
11493,,,0
11494,,,0
11495,,,0
11496,,,0
11497,,,0
11498,,,0
11499,,,0
11500,,,0
11501,,,0
11502,,,0
11503,,,0
11504,,,0
11505,,,0
11506,,,0
11507,,,0
11508,,,0
11509,,,0
11510,,,0
11511,,,0
11512,,,0
11513,,,0
11514,,,0
11515,,,0
11516,,,0
11517,,,0
11518,,,0
11519,,,0
11520,,,0
11521,,,0
11522,,,0
11523,,,0
11524,,,0
11525,,,0
11526,,,0
11527,,,0
11528,,,0
11529,,,0
11530,,,0
11531,,,0
11532,,,0
11533,,,0
11534,,,0
11535,,,0
11536,,,0
11537,,,0
11538,802.5,720.0,1
11539,803.0,748.0,1
11540,803.0,769.0,1
11541,801.5,746.0,1
11542,800.0,723.0,1
11543,796.5,705.5,1
11544,793.0,688.0,1
11545,792.0,670.0,1
11546,791.0,652.0,1
11547,789.0,639.0,1
11548,,,0
11549,,,0
11550,,,0
11551,,,0
11552,,,0
11553,,,0
11554,,,0
11555,,,0
11556,792.0,666.0,1
11557,793.5,682.5,1
11558,795.0,703.5,1
11559,793.5,723.0,1
11560,793.5,750.0,1
11561,793.5,766.5,1
11562,792.8,749.2,1
11563,792.0,732.0,1
11564,790.5,715.5,1
11565,790.5,702.0,1
11566,789.0,691.5,1
11567,787.5,678.0,1
11568,786.0,667.5,1
11569,783.0,666.0,1
11570,783.0,664.5,1
11571,781.5,664.5,1
11572,780.0,664.5,1
11573,780.0,664.5,1
11574,778.5,664.5,1
11575,778.5,663.0,1
11576,781.5,664.5,1
11577,783.0,667.5,1
11578,786.0,672.0,1
11579,787.5,672.0,1
11580,790.5,673.5,1
11581,793.5,675.0,1
11582,796.5,675.0,1
11583,,,0
11584,,,0
11585,,,0
11586,,,0
11587,,,0
11588,,,0
11589,,,0
11590,,,0
11591,,,0
11592,,,0
11593,,,0
11594,,,0
11595,,,0
11596,,,0
11597,777.0,582.0,1
11598,774.0,547.5,1
11599,775.5,513.0,1
11600,775.0,481.0,1
11601,774.0,453.0,1
11602,774.0,425.0,1
11603,774.0,397.0,1
11604,777.0,374.0,1
11605,777.0,349.0,1
11606,776.0,329.0,1
11607,777.0,307.0,1
11608,777.0,289.0,1
11609,779.0,272.0,1
11610,779.0,258.0,1
11611,780.0,244.0,1
11612,780.0,233.0,1
11613,783.0,224.0,1
11614,781.5,217.5,1
11615,783.0,208.5,1
11616,784.5,207.0,1
11617,787.5,204.0,1
11618,790.5,205.5,1
11619,791.0,205.0,1
11620,793.5,209.5,1
11621,796.0,214.0,1
11622,797.0,220.0,1
11623,799.0,229.0,1
11624,802.0,239.0,1
11625,803.0,251.0,1
11626,807.0,264.0,1
11627,808.0,279.0,1
11628,811.0,296.0,1
11629,814.0,315.0,1
11630,816.0,333.0,1
11631,889.0,360.0,1
11632,945.0,378.0,1
11633,978.5,391.0,1
11634,1012.0,404.0,1
11635,1035.0,413.0,1
11636,1053.0,420.0,1
11637,1066.5,429.0,1
11638,1074.0,427.5,1
11639,1078.5,426.0,1
11640,1084.5,424.5,1
11641,1086.0,423.0,1
11642,1092.0,423.0,1
11643,1095.0,424.5,1
11644,1096.5,426.0,1
11645,1099.5,429.0,1
11646,1102.5,432.8,1
11647,1105.5,436.5,1
11648,1109.5,430.5,1
11649,1111.0,425.0,1
11650,1113.0,419.0,1
11651,1115.0,413.0,1
11652,1117.5,406.5,1
11653,1119.0,403.5,1
11654,1122.0,399.0,1
11655,1122.0,398.0,1
11656,1125.0,394.0,1
11657,1126.0,393.0,1
11658,1125.0,394.0,1
11659,1129.0,394.0,1
11660,1129.5,394.5,1
11661,1126.5,390.0,1
11662,1121.0,383.0,1
11663,1116.0,378.0,1
11664,1110.0,371.0,1
11665,1107.0,367.0,1
